Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Paraquat: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1796,Drinking Water Standards and Health Advisory,Paraquat: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Pentachlorophenol: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1802,Drinking Water Standards and Health Advisory,Pentachlorophenol: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Perchlorate: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1804,Drinking Water Standards and Health Advisory,Perchlorate: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Perfluorooctane Sulfonate (PFOS): 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1805,Drinking Water Standards and Health Advisory,Perfluorooctane Sulfonate (PFOS): 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Perfluorooctanoic Acid (PFOA): 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1806,Drinking Water Standards and Health Advisory,Perfluorooctanoic Acid (PFOA): 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Phenanthrene (PAH): 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1830,Drinking Water Standards and Health Advisory,Phenanthrene (PAH): 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Phenol: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1831,Drinking Water Standards and Health Advisory,Phenol: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Picloram: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1832,Drinking Water Standards and Health Advisory,Picloram: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Polychlorinated biphenyls (PCBs): 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1850,Drinking Water Standards and Health Advisory,Polychlorinated biphenyls (PCBs): 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Prometon: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1936,Drinking Water Standards and Health Advisory,Prometon: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Pronamide: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1939,Drinking Water Standards and Health Advisory,Pronamide: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Propachlor: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1940,Drinking Water Standards and Health Advisory,Propachlor: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Propazine: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1941,Drinking Water Standards and Health Advisory,Propazine: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Propham: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1942,Drinking Water Standards and Health Advisory,Propham: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Pyrene (PAH): 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-1984,Drinking Water Standards and Health Advisory,Pyrene (PAH): 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Radon: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2002,Drinking Water Standards and Health Advisory,Radon: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"RDX (hexahydro-1,3,5-trinitro-1,3,5-triazine): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2005,Drinking Water Standards and Health Advisory,"RDX (hexahydro-1,3,5-trinitro-1,3,5-triazine): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Selenium: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2109,Drinking Water Standards and Health Advisory,Selenium: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Silver: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2120,Drinking Water Standards and Health Advisory,Silver: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Simazine: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2122,Drinking Water Standards and Health Advisory,Simazine: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Strontium: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2383,Drinking Water Standards and Health Advisory,Strontium: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Styrene: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2384,Drinking Water Standards and Health Advisory,Styrene: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Tebuthiuron: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2428,Drinking Water Standards and Health Advisory,Tebuthiuron: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Terbacil: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2458,Drinking Water Standards and Health Advisory,Terbacil: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Terbufos: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2459,Drinking Water Standards and Health Advisory,Terbufos: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Tetrachloroethane (1,1,1,2-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2461,Drinking Water Standards and Health Advisory,"Tetrachloroethane (1,1,1,2-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Tetrachloroethane (1,1,2,2-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2462,Drinking Water Standards and Health Advisory,"Tetrachloroethane (1,1,2,2-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Tetrachloroethylene: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2463,Drinking Water Standards and Health Advisory,Tetrachloroethylene: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Tetrachloroterephthalic acid: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2464,Drinking Water Standards and Health Advisory,Tetrachloroterephthalic acid: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Thallium: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2465,Drinking Water Standards and Health Advisory,Thallium: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Toluene: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2510,Drinking Water Standards and Health Advisory,Toluene: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Toxaphene: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2519,Drinking Water Standards and Health Advisory,Toxaphene: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Trichloroacetic acid: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2548,Drinking Water Standards and Health Advisory,Trichloroacetic acid: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichlorobenzene (1,2,4-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2549,Drinking Water Standards and Health Advisory,"Trichlorobenzene (1,2,4-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichlorobenzene (1,3,5-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2550,Drinking Water Standards and Health Advisory,"Trichlorobenzene (1,3,5-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichloroethane (1,1,1-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2551,Drinking Water Standards and Health Advisory,"Trichloroethane (1,1,1-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichloroethane (1,1,2-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2552,Drinking Water Standards and Health Advisory,"Trichloroethane (1,1,2-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Trichloroethylene: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2553,Drinking Water Standards and Health Advisory,Trichloroethylene: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Trichlorofluoromethane: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2554,Drinking Water Standards and Health Advisory,Trichlorofluoromethane: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichlorophenol (2,4,6-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2555,Drinking Water Standards and Health Advisory,"Trichlorophenol (2,4,6-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trichloropropane (1,2,3-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2556,Drinking Water Standards and Health Advisory,"Trichloropropane (1,2,3-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Trifluralin: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2557,Drinking Water Standards and Health Advisory,Trifluralin: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trimethylbenzene (1,2,4-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2558,Drinking Water Standards and Health Advisory,"Trimethylbenzene (1,2,4-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trimethylbenzene (1,3,5-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2559,Drinking Water Standards and Health Advisory,"Trimethylbenzene (1,3,5-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Trinitroglycerol: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2560,Drinking Water Standards and Health Advisory,Trinitroglycerol: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
"Trinitrotoluene (2,4,6-): 2018 Drinking Water Standards and Health Advisory Tables (PDF)",2018-03-15,2020-02-28,OW-OST-2561,Drinking Water Standards and Health Advisory,"Trinitrotoluene (2,4,6-): 2018 Drinking Water Standards and Health Advisory Tables",https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Uranium: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2608,Drinking Water Standards and Health Advisory,Uranium: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Vinyl chloride: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2676,Drinking Water Standards and Health Advisory,Vinyl chloride: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
White phosphorous: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2766,Drinking Water Standards and Health Advisory,White phosphorous: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Xylenes: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2781,Drinking Water Standards and Health Advisory,Xylenes: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
Zinc: 2018 Drinking Water Standards and Health Advisory Tables (PDF),2018-03-15,2020-02-28,OW-OST-2783,Drinking Water Standards and Health Advisory,Zinc: 2018 Drinking Water Standards and Health Advisory Tables,https://www.epa.gov/sites/production/files/2018-03/documents/dwtable2018.pdf
